Country, Region, Population, Area (sq. mi.), Coastline (coast area sq. mi.), GDP, Literacy (%), Birthrate (per 1000 people), Deathrate (per 1000 people), Agriculture in GDP (%), Industry in GDP (%), Service in GDP (%) 
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,"27,85",23700,"92,5","9,34","4,28",0,"0,339","0,661"
Slovakia ,EASTERN EUROPE                     ,5439448,48845,0,13300,,"10,65","9,45","0,035","0,294","0,672"
Slovenia ,EASTERN EUROPE                     ,2010347,20273,"0,23",19000,"99,7","8,98","10,31","0,028","0,369","0,603"
Solomon Islands ,OCEANIA                            ,552438,28450,"18,67",1700,,"30,01","3,92","0,42","0,11","0,47"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,"0,47",500,"37,8","45,13","16,63","0,65","0,1","0,25"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,"0,23",10700,"86,4","18,2",22,"0,025","0,303","0,671"
Spain ,WESTERN EUROPE                     ,40397842,504782,"0,98",22000,"97,9","10,06","9,72","0,04","0,295","0,665"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,"2,04",3700,"92,3","15,51","6,52","0,178","0,276","0,545"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,"0,03",1900,"61,1","34,53","8,97","0,387","0,203","0,41"
Suriname ,LATIN AMER. & CARIB    ,439117,163270,"0,24",4000,93,"18,02","7,27","0,13","0,22","0,65"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,0,4900,"81,6","27,41","29,74","0,119","0,515","0,366"
Sweden ,WESTERN EUROPE                     ,9016596,449964,"0,72",26800,99,"10,27","10,31","0,011","0,282","0,707"
Switzerland ,WESTERN EUROPE                     ,7523934,41290,0,32700,99,"9,71","8,49","0,015","0,34","0,645"
Syria ,NEAR EAST                          ,18881361,185180,"0,1",3300,"76,9","27,76","4,81","0,249","0,23","0,519"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,"4,35",23400,"96,1","12,56","6,48","0,018","0,259","0,723"
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,0,1000,"99,4","32,65","8,25","0,234","0,286","0,48"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,"0,15",600,"78,2","37,71","16,39","0,432","0,172","0,396"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,"0,63",7400,"92,6","13,87","7,04","0,099","0,441","0,46"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,"0,1",1500,"60,9","37,01","9,83","0,395","0,204","0,401"
Tonga ,OCEANIA                            ,114689,748,"56,02",2200,"98,5","25,37","5,28","0,23","0,27","0,5"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,"7,06",9500,"98,6","12,9","10,57","0,007","0,57","0,423"
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,"0,7",6900,"74,2","15,52","5,13","0,132","0,318","0,55"
Turkey ,NEAR EAST                          ,70413958,780580,"0,92",6700,"86,5","16,62","5,97","0,117","0,298","0,585"
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,0,5800,98,"27,61","8,6","0,209","0,38","0,411"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,"90,47",9600,98,"21,84","4,21",,,
Tuvalu ,OCEANIA                            ,11810,26,"92,31",1100,,"22,18","7,11","0,166","0,272","0,562"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,0,1400,"69,9","47,35","12,24","0,311","0,222","0,469"
Ukraine ,C.W. OF IND. STATES ,46710816,603700,"0,46",5400,"99,7","8,82","14,39","0,187","0,452","0,361"
United Arab Emirates ,NEAR EAST                          ,2602713,82880,"1,59",23200,"77,9","18,96","4,4","0,04","0,585","0,375"
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,"5,08",27700,99,"10,71","10,13","0,005","0,237","0,758"
United States ,NORTHERN AMERICA                   ,298444215,9631420,"0,21",37800,97,"14,14","8,26","0,01","0,204","0,787"
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,"0,37",12800,98,"13,91","9,05","0,093","0,311","0,596"
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,0,1700,"99,3","26,36","7,84","0,342","0,229","0,43"
Vanuatu ,OCEANIA                            ,208869,12200,"20,72",2900,53,"22,72","7,82","0,26","0,12","0,62"
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,"0,31",4800,"93,4","18,71","4,92","0,04","0,419","0,541"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,"1,05",2500,"90,3","16,86","6,22","0,209","0,41","0,381"
